x,y
-5.579,-54.161
-151.616,46.193
-141.581,56.463
-14.242,80.983
155.823,0.013
-106.573,-36.850
-92.783,27.346
104.877,80.178
-66.974,-107.898
-136.618,16.974
88.699,-87.123
-111.945,83.690
-28.974,152.829
66.410,81.226
-49.072,121.978
13.610,35.782
-85.145,133.659
53.172,-129.098
-56.924,140.903
41.341,-24.032
38.568,128.003
23.218,-124.840
89.282,-61.176
6.876,-144.948
-87.047,85.103
103.345,13.493
101.021,-99.399
1.035,99.277
70.387,91.703
-61.268,-16.429
-20.743,109.703
18.919,77.655
-20.613,43.481
2.735,89.819
-76.176,140.688
104.224,-58.166
19.819,67.230
-113.267,-36.624
-74.946,98.681
-37.152,-96.845
92.514,-116.107
99.376,97.332
96.347,34.850
88.468,51.538
84.800,110.394
23.228,18.423
94.245,-29.062
-95.097,127.799
102.987,-91.680
-53.301,20.954
-41.490,39.278
-94.611,102.399
-55.767,119.042
-24.933,-143.461
-30.802,30.395
-74.161,-59.174
-87.234,-40.401
-153.900,-11.371
34.944,-39.956
9.920,16.550
76.848,-36.033
-102.629,98.227
-117.877,-53.494
32.829,89.000
1.463,-66.995
-26.666,-50.491
-37.925,103.681
19.740,4.459
-120.301,-75.610
-56.032,-37.062
75.174,-43.125
-1.409,31.844
-22.109,-38.224
-8.965,-121.365
-148.253,-46.398
-99.341,-86.375
116.169,-102.283
-6.036,-9.551
-2.970,143.102
2.735,-88.545
46.533,136.916
18.212,154.239
40.383,78.891
-47.024,-2.407
76.323,41.393
85.963,-16.840
109.445,-108.292
91.890,-36.648
-1.977,-138.768
89.647,43.361
126.181,36.947
-31.709,-132.711
-21.641,121.388
137.510,2.996
58.272,-10.040
78.385,-108.996
9.874,-89.976
22.681,47.648
-60.539,-140.871
108.736,-116.079
132.671,-87.889
-19.561,144.845
-28.804,-17.513
89.729,78.771
131.386,-61.555
119.422,-59.015
-122.375,51.925
-12.101,104.045
24.226,82.314
107.025,98.931
77.016,-127.018
4.593,-12.652
-68.420,143.395
80.922,35.652
-55.549,-121.583
10.867,59.965
75.494,-18.227
-90.711,-122.512
-132.797,-51.762
7.825,-54.671
23.100,110.359
-61.794,37.824
-38.271,-63.739
68.280,-33.971
22.008,90.749
63.559,104.267
-72.106,-49.478
58.913,-123.552
-50.529,-76.512
-2.074,119.558
-158.253,-5.020
-120.786,26.274
-71.789,-101.449
50.770,57.656
-114.912,31.094
-1.784,-148.254
-98.356,-69.919
-59.972,-28.198
19.864,28.112
23.017,128.794
44.232,102.284
142.594,-35.211
65.745,-72.280
84.219,-116.756
-18.616,-95.781
66.593,72.177
79.502,117.733
-47.907,31.249
-69.083,92.022
-70.762,84.924
38.540,23.172
133.219,43.297
-69.276,43.814
84.860,-92.705
36.512,136.463
-110.785,110.841
-22.108,99.635
-32.535,51.100
117.741,-10.278
52.431,-98.294
126.605,56.404
144.774,23.648
-36.518,152.003
80.379,66.144
23.248,10.123
-21.060,59.101
14.030,-127.286
-60.604,25.728
-23.731,-25.077
-101.217,110.018
-72.327,3.084
33.996,2.346
50.378,6.002
-48.124,77.356
-53.148,-28.671
66.312,-117.527
-130.327,-42.634
120.347,105.109
125.032,-50.267
-46.385,69.894
-12.018,-27.538
-87.208,-67.572
-108.696,-56.394
-136.720,-44.732
50.775,-114.062
-105.508,4.647
-45.527,-33.236
-125.178,-91.290
26.160,-67.277
29.399,-133.274
68.980,-64.262
-22.460,-77.104
-43.120,110.855
-97.266,-120.428
110.937,53.417
-115.407,104.209
118.758,4.469
-76.532,33.128
13.322,51.611
27.355,-154.489
100.024,122.399
57.176,-68.921
72.985,130.909
38.656,-75.244
16.426,121.942
-124.861,-97.904
-39.354,-108.251
141.454,30.490
52.228,-3.486
-88.460,-116.147
-137.531,34.839
-5.600,97.196
6.581,120.900
34.410,146.065
-114.346,72.326
47.357,-122.560
79.603,-50.912
157.334,-20.037
26.875,-46.043
37.754,-143.820
88.098,21.486
77.355,88.457
114.352,-64.202
4.177,-134.990
-72.509,-78.432
58.700,64.616
17.012,-54.572
-90.262,77.528
-89.991,-46.452
16.777,-149.743
-56.737,-56.056
98.712,25.344
49.675,-23.171
-24.555,-135.737
-23.949,77.611
86.292,-69.793
100.694,75.057
30.330,-93.029
-108.428,-69.863
69.006,-57.547
12.600,115.652
-96.979,46.170
-0.973,15.104
-45.583,102.965
-0.716,-120.033
96.105,-62.125
